ID	stn	co	start_dt	duration	number	acc_code
2428	026	006	2002-09-20 16:04:00	00:00:14	INCOMING	
2429	031	006	2002-09-20 16:04:16	00:02:20	TRANSFER	
2430	026	004	2002-09-20 16:06:08	00:00:33	INCOMING	
2431	026	004	2002-09-20 16:06:43	00:00:08	TRANSFER	
2432	026	002	2002-09-20 16:07:28	00:00:20	5781559	
2433	033	006	2002-09-20 16:07:32	00:01:06	2313278	
2434	026	002	2002-09-20 16:08:01	00:00:45	5725242	
2435	026	002	2002-09-20 16:09:02	00:00:16	5725242	
2436	026	002	2002-09-20 16:09:58	00:00:11	5781559	
2437	022	006	2002-09-20 16:09:31	00:00:57	7902627	
2438	026	002	2002-09-20 16:10:20	00:00:16	5781559	
2439	026	004	2002-09-20 16:14:47	00:00:58	INCOMING	
2440	024	006	2002-09-20 16:15:16	00:00:35	INCOMING	
2441	032	005	2002-09-20 16:15:35	00:00:31	3657964	
2442	032	005	2002-09-20 16:16:36	00:00:32	3663486	
2443	033	006	2002-09-20 16:15:53	00:01:34	TRANSFER	
2444	026	002	2002-09-20 16:17:22	00:00:13	5781559	
2445	032	005	2002-09-20 16:17:34	00:01:16	3665308	
2446	023	006	2002-09-20 16:18:54	00:01:24	9382538	
2447	026	004	2002-09-20 16:21:40	00:00:11	INCOMING	
2448	031	006	2002-09-20 16:26:23	00:00:26	INCOMING	
2449	026	004	2002-09-20 16:27:03	00:01:09	INCOMING	
2450	024	007	2002-09-20 16:29:01	00:00:13	INCOMING	
2451	024	005	2002-09-20 16:30:02	00:00:10	INCOMING	
2452	031	006	2002-09-20 16:30:09	00:00:19	2791644	
2453	026	002	2002-09-20 16:31:00	00:00:36	2793613	
2454	031	002	2002-09-20 16:31:38	00:02:02	TRANSFER	
2455	026	005	2002-09-20 16:33:12	00:00:39	INCOMING	
2456	024	006	2002-09-20 16:32:58	00:01:01	INCOMING	
2457	026	002	2002-09-20 16:36:15	00:00:01	5781559	
2458	026	005	2002-09-20 16:36:16	00:00:23	INCOMING	
2459	026	002	2002-09-20 16:36:34	00:00:14	5781559	
2460	026	002	2002-09-20 16:37:01	00:00:16	5781559	
2461	026	002	2002-09-20 16:39:38	00:00:05	5781559	
2462	032	005	2002-09-20 16:36:42	00:03:10	TRANSFER	
2463	026	006	2002-00-00 16:39:43	00:00:12	INCOMING
2464	026	004	2002-09-20 16:39:54	00:00:08	INCOMING	
2465	026	002	2002-09-20 16:40:15	00:00:01	5781559	
2466	026	001	2002-00-00 16:40:16	01:00:05	INCOMING	
