ID	stn	co	start_dt	duration	number	acc_code
2109	025	007	2002-09-20 09:59:46	00:00:17	89032075348	
2110	025	007	2002-09-20 10:00:15	00:00:08	8902627	
2111	025	007	2002-09-20 10:00:34	00:01:45	89021447115	
2112	026	005	2002-09-20 10:02:23	00:00:31	INCOMING	
2113	023	006	2002-09-20 10:06:03	00:00:21	9242263	
2114	025	007	2002-09-20 10:02:40	00:06:45	1341367	
2115	025	007	2002-09-20 10:09:38	00:00:33	9325406	
2116	024	006	2002-09-20 10:11:49	00:00:04	2812143	
2117	026	008	2002-09-20 10:13:25	00:00:56	INCOMING	
2118	026	003	2002-09-20 10:14:57	00:00:40	INCOMING	
2119	026	005	2002-09-20 10:16:19	00:01:49	INCOMING	
2120	026	007	2002-09-20 10:18:35	00:00:24	INCOMING	
2121	024	004	2002-09-20 10:30:23	00:00:23	INCOMING	
2122	026	008	2002-09-20 10:28:33	00:02:18	INCOMING	
2123	021	008	2002-09-20 10:30:52	00:00:29	TRANSFER	
2124	029	004	2002-09-20 10:30:47	00:01:28	TRANSFER	
2125	032	006	2002-09-20 10:35:03	00:00:03	2812143	
2126	032	006	2002-09-20 10:35:18	00:00:06	2812143	
2127	023	007	2002-09-20 10:41:06	00:00:10	74105503	
2128	023	007	2002-09-20 10:41:25	00:01:00	7410503	
2129	022	006	2002-09-20 10:39:22	00:06:23	7828956	
2130	031	003	2002-09-20 10:46:41	00:00:57	INCOMING	
2131	026	006	2002-09-20 10:47:33	00:00:10	INCOMING	
2132	023	006	2002-09-20 10:50:47	00:00:53	1211007	
2133	021	005	2002-09-20 10:51:43	00:00:53	2812143	
2134	035	006	2002-09-20 10:54:26	00:01:33	2981226	
2135	023	006	2002-09-20 10:56:19	00:00:07	4713380	
2136	023	006	2002-09-20 10:57:33	00:00:06	4713380	
2137	024	004	2002-09-20 10:59:03	00:00:09	INCOMING	
2138	035	004	2002-09-20 10:59:14	00:01:42	TRANSFER	
2139	026	005	2002-09-20 11:01:17	00:00:09	INCOMING	
2140	029	003	2002-09-20 10:47:40	00:13:54	TRANSFER	
2141	031	005	2002-09-20 11:01:28	00:00:37	TRANSFER	
2142	024	008	2002-09-20 11:02:02	00:00:36	7926644	
2143	032	006	2002-09-20 11:03:15	00:00:32	2812143	
2144	024	008	2002-09-20 11:04:29	00:00:09	INCOMING	
2145	021	008	2002-09-20 11:04:40	00:00:11	TRANSFER	
2146	026	008	2002-09-20 11:05:30	00:01:36	INCOMING	
2147	023	007	2002-09-20 11:07:34	00:00:12	2527721	
2148	031	008	2002-09-20 11:07:07	00:00:56	TRANSFER	
2149	023	007	2002-09-20 11:08:46	00:00:21	9430021	
2150	024	007	2002-09-20 11:11:44	00:00:43	2812143	
