22.12.06|16:11:20|2|1265||00:01:49|2583238||2||||5|
22.12.06|16:11:32|4|1917|00:19|00:02:22|80445374757||1|||||
22.12.06|16:11:52|51|1126||00:00:05|80504437493||2||||8|
22.12.06|16:11:55|33|1998|00:04|00:00:23|||1|||||
22.12.06|16:12:06|7|1997|00:04|00:00:45|80444619957||1|||||
22.12.06|16:12:08|5|1217||00:02:57|5902394||2||||5|
22.12.06|16:12:25|3|1246||00:02:43|4941771||2||||5|
22.12.06|16:12:28|2|1163|00:00|00:00:00|2012237||2||||5|
22.12.06|16:12:44|2|1163|00:00|00:00:00|2012237||2||||5|
22.12.06|16:12:54|6|1136||00:01:51|79094173355||2|||810|2|
22.12.06|16:12:57|2|1547|00:00|00:00:00|501||2||||5|
22.12.06|16:13:13|2|1997|00:04|00:00:09|80442012300||1|||||
22.12.06|16:13:17|1|1161||00:02:19|2393504||2||||5|
22.12.06|16:13:29|2|1934||00:00:15|80442012300||35|||||
22.12.06|16:13:49|1|1161||00:00:12|4659717||2||||5|
22.12.06|16:14:01|52|1136||00:00:36|80673820380||2||||8|
22.12.06|16:14:29|3|1163||00:01:10|5902275||2||||5|
22.12.06|16:14:35|2|1265||00:01:06|80442012300||35|||||
22.12.06|16:14:56|1|1259||00:00:35|5374798||2||||5|
22.12.06|16:14:56|53|1126||00:00:04|80504437493||2||||8|
22.12.06|16:15:15|2|1151|00:23|00:00:00|2472160||2||||5|
22.12.06|16:15:21|54|1126||00:00:04|80504437493||2||||8|
22.12.06|16:15:41|1|1997|00:04|00:00:10|80442065531||1|||||
22.12.06|16:16:34|2|1997|00:04|00:00:22|80564404120||1|||||
22.12.06|16:16:42|5|1136||00:02:19|79282299560||2|||810|2|
22.12.06|16:17:26|4|1241||00:03:31|4907716||2||||5|
22.12.06|16:17:47|3|1217|00:00|00:00:00|2902584||2||||5|
22.12.06|16:17:58|33|1934||00:06:03|||35|||||
22.12.06|16:17:58|45|1934||00:05:11|80504414555||2||||8|
